Mint,#3EB489
Rhythm,#777696
Kobi,#E79FC4
Rojo Spanish red,#A91101
Chocolate (traditional),#7B3F00
Light sky blue,#87CEFA
Red (pigment),#ED1C24
Bistre brown,#967117
Wild blue yonder,#A2ADD0
Golden poppy,#FCC200
Rich black (FOGRA39),#010203
Purple (Munsell),#9F00C5
International orange (Golden Gate Bridge),#C0362C
Metallic Sunburst,#9C7C38
Chili red,#E23D28
Dark salmon,#E9967A
Dark jungle green,#1A2421
Yellow (process),#FFEF00
Tart Orange,#FB4D46
Spring bud,#A7FC00
Baker-Miller pink,#FF91AF
Morning blue,#8DA399
Rebecca Purple,#663399
Psychedelic purple,#DF00FF
KSU purple,#512888
Emerald,#50C878
Pansy purple,#78184A
Light coral,#F08080
French violet,#8806CE
Blue,#0000FF
Pale purple (Pantone),#FAE6FA
Orange (Crayola),#FF7538
Rose vale,#AB4E52
Strawberry,#FA5053
Mexican pink,#E4007C
Saddle brown,#8B4513
Lavender (web),#E6E6FA
Dark sienna,#3C1414
Mango Tango,#FF8243
Mikado yellow,#FFC40C
Wild orchid,#D470A2
Arctic lime,#D0FF14
Lemon curry,#CCA01D
Hollywood cerise,#F400A1
Hunter green,#355E3B
Heliotrope,#DF73FF
Sapphire,#0F52BA
UP maroon,#7B1113
Papaya whip,#FFEFD5
Celadon,#ACE1AF
Persian rose,#FE28A2
Dark lava,#483C32
Smoky black,#100C08
Madder Lake,#CC3336
Paua,#1F005E
Rosy brown,#BC8F8F
Dark spring green,#177245
Spanish sky blue,#00FFFE
Winter Sky,#FF007C
Screamin' Green,#66FF66
Glaucous,#6082B6
Periwinkle,#CCCCFF
Caf� au lait,#A67B5B
Violet-blue,#324AB2
Shimmering Blush,#D98695
Independence,#4C516D
Electric lime,#CCFF00
Middle yellow,#FFEB00
Livid,#6699CC
Fuchsia,#FF00FF
Purple (X11),#A020F0
Vivid burgundy,#9F1D35
Purple navy,#4E5180
Marigold,#EAA221
Olive Drab #7,#3C341F
Heat Wave,#FF7A00
Candy pink,#E4717A
Vermilion,#D9381E
Patriarch,#800080
Big dip o�ruby,#9C2542
Carmine,#960018
Raspberry,#E30B5D
Lime (color wheel),#BFFF00
Pacific blue,#1CA9C9
Yellow Sunshine,#FFF700
Maroon (X11),#B03060
Atomic tangerine,#FF9966
British racing green,#004225
Alice blue,#F0F8FF
Bitter lemon,#CAE00D
Green Lizard,#A7F432
Sunray,#E3AB57
Yellow,#FFFF00
Orange peel,#FF9F00
Viridian green,#009698
Robin egg blue,#00CCCC
Olive,#808000
Terra cotta,#E2725B
Mystic maroon,#AD4379
Ochre,#CC7722
Arylide yellow,#E9D66B
Dark brown,#654321
Violet (RYB),#8601AF
Non-photo blue,#A4DDED
Amethyst,#9966CC
Persimmon,#EC5800
Lava,#CF1020
Maximum purple,#733380
Medium aquamarine,#66DDAA
Zaffre,#0014A8
Brown,#964B00
Rose bonbon,#F9429E
Taupe gray,#8B8589
Dark turquoise,#00CED1
Deep chestnut,#B94E48
Glossy grape,#AB92B3
Lemon chiffon,#FFFACD
Orange-yellow (Crayola),#F8D568
Dark orchid,#9932CC
Deep cerise,#DA3287
Maximum blue green,#30BFBF
Teal blue,#367588
Red-purple,#E40078
Orange-red (Crayola),#FF5349
Maximum red purple,#A63A79
Black bean,#3D0C02
Spanish carmine,#D10047
Cinnamon Satin,#CD607E
Tropical rainforest,#00755E
Copper,#B87333
Maya blue,#73C2FB
Middle purple,#D982B5
Pale spring bud,#ECEBBD
Magenta (dye),#CA1F7B
Razzle dazzle rose,#FF33CC
Minion yellow,#F5E050
Light steel blue,#B0C4DE
Bright lilac,#D891EF
International Klein Blue,#130a8f
Peach (Crayola),#FFCBA4
Cool grey,#8C92AC
Aqua,#00FFFF
Baby blue,#89CFF0
Orange soda,#FA5B3D
Dark purple,#301934
Ruber,#CE4676
Strawberry Blonde,#FF9361
Ecru,#C2B280
Raspberry rose,#B3446C
Blush,#DE5D83
White,#FFFFFF
Rose,#FF007F
Pink Sherbet,#F78FA7
Steel blue,#4682B4
Queen pink,#E8CCD7
Pine green,#01796F
Sea green,#2E8B57
Red-violet (Crayola),#C0448F
Magenta haze,#9F4576
Lavender blush,#FFF0F5
Dark goldenrod,#B8860B
Maroon (web),#800000
Pink lavender,#D8B2D1
Strong Lime Green,#33CC33
Straw,#E4D96F
Sizzling Red,#FF3855
Old lace,#FDF5E6
Magenta (Crayola),#F653A6
Almond,#EED9C4
Paris Green,#50C878
Fulvous,#E48400
Prune,#701C1C
Mauve,#E0B0FF
Payne's grey,#536878
Sinopia,#CB410B
Gold Fusion,#85754E
Antique white,#FAEBD7
Yellow-green,#9ACD32
Middle yellow red,#ECB176
Pale pink,#FADADD
Wood brown,#C19A6B
Xanadu,#738678
Barbie Pink,#DA1884
New York pink,#D7837F
Blue bell,#A2A2D0
Light cyan,#E0FFFF
Rifle green,#444C38
Liver chestnut,#987456
Antique fuchsia,#915C83
Medium turquoise,#48D1CC
Tuscan tan,#A67B5B
Vivid sky blue,#00CCFF
Shocking pink (Crayola),#FF6FFF
Baby pink,#F4C2C2
Russian violet,#32174D
Quinacridone magenta,#8E3A59
Princeton orange,#F58025
Schauss pink,#FF91AF
Bright yellow (Crayola),#FFAA1D
St. Patrick's blue,#23297A
Light green,#90EE90
Razzmatazz,#E3256B
Medium purple,#9370DB
GO green,#00AB66
Eerie black,#1B1B1B
Sunglow,#FFCC33
Orange (web),#FFA500
Ruby,#E0115F
Chocolate (web),#D2691E
Mindaro,#E3F988
Floral white,#FFFAF0
Black Shadows,#BFAFB2
Macaroni and Cheese,#FFBD88
Light cornflower blue,#93CCEA
Light periwinkle,#C5CBE1
Yellow (Pantone),#FEDF00
Cerulean,#007BA7
Turquoise green,#A0D6B4
Liberty,#545AA7
Jet,#343434
Rocket metallic,#8A7F80
Unmellow yellow,#FFFF66
Gold (metallic),#D4AF37
Lemon yellow,#FFF44F
Bleu de France,#318CE7
United Nations blue,#009EDB
Iceberg,#71A6D2
Orchid pink,#F2BDCD
Olive green,#B5B35C
Copper rose,#996666
Cyber grape,#58427C
Pink (Pantone),#D74894
Red (RYB),#FE2712
Ebony,#555D50
Mystic,#D65282
Saffron,#F4C430
Byzantine,#BD33A4
Dark orange,#FF8C00
Fallow,#C19A6B
Aquamarine,#7FFFD4
Cerulean (RGB),#0040FF
Peach puff,#FFDAB9
Process yellow,#FFEF00
Sizzling Sunrise,#FFDB00
Light pink,#FFB6C1
Rosewood,#65000B
Cyan,#00FFFF
Mulberry,#C54B8C
Android green,#3DDC84
Maximum yellow,#FAFA37
Neon green,#39FF14
Fuchsia (Crayola),#C154C1
UA blue,#0033AA
French sky blue,#77B5FE
Acid green,#B0BF1A
Blue (NCS),#0087BD
Chinese red,#AA381E
Shadow blue,#778BA5
Carmine (M&P),#D70040
Rich black,#004040
Indian red,#CD5C5C
Vermilion,#E34234
Black olive,#3B3C36
Sapphire (Crayola),#2D5DA1
Caf� noir,#4B3621
Antique ruby,#841B2D
Metallic gold,#D3AF37
Light French beige,#C8AD7F
Copper penny,#AD6F69
Absolute Zero,#0048BA
Denim blue,#2243B6
Misty rose,#FFE4E1
Cultured Pearl,#F5F5F5
Cyan (process),#00B7EB
Alizarin,#DB2D43
Medium orchid,#BA55D3
Japanese carmine,#9D2933
Redwood,#A45A52
Black,#000000
Lemon glacier,#FDFF00
African violet,#B284BE
Gainsboro,#DCDCDC
Light gray,#D3D3D3
Purple,#6A0DAD
Turtle green,#8A9A5B
Radical Red,#FF355E
Bluetiful,#3C69E7
Gunmetal,#2a3439
Blue sapphire,#126180
Medium candy apple red,#E2062C
Sunset,#FAD6A5
Pear,#D1E231
Teal,#008080
Deep taupe,#7E5E60
Titanium yellow,#EEE600
Carnelian,#B31B1B
Navy blue,#000080
Puce,#CC8899
Pale aqua,#BED3E5
Heliotrope gray,#AA98A9
Cameo pink,#EFBBCC
Brown sugar,#AF6E4D
Maximum green yellow,#D9E650
Little boy blue,#6CA0DC
Rose pink,#FF66CC
Azure (X11/web color),#F0FFFF
Wheat,#F5DEB3
Languid lavender,#D6CADD
Ultra pink,#FF6FFF
Banana Mania,#FAE7B5
Mandarin,#F37A48
Canary,#FFFF99
Ultra red,#FC6C85
Rose Dust,#9E5E6F
Veronica,#A020F0
Eggshell,#F0EAD6
Coquelicot,#FF3800
MSU green,#18453B
Mahogany,#C04000
Pastel pink,#DEA5A4
Sap green,#507D2A
Cream,#FFFDD0
Slate gray,#708090
Twilight lavender,#8A496B
Tangerine,#F28500
Safety orange (blaze orange),#FF6700
Oxblood,#4A0000
China pink,#DE6FA1
Shamrock green,#009E60
Dark slate blue,#483D8B
May green,#4C9141
Stil de grain yellow,#FADA5E
Skobeloff,#007474
Sky blue,#87CEEB
Piggy pink,#FDDDE6
Middle green yellow,#ACBF60
Cornsilk,#FFF8DC
Neon fuchsia,#FE4164
Sonic silver,#757575
Blue (Pantone),#0018A8
Burlywood,#DEB887
Cerulean blue,#2A52BE
Silver sand,#BFC1C2
Blue-violet,#8A2BE2
Blue jeans,#5DADEC
Light salmon,#FFA07A
Rich black (FOGRA29),#010B13
Tuscan,#FAD6A5
Tumbleweed,#DEAA88
Plum (web),#DDA0DD
Corn,#FBEC5D
Rufous,#A81C07
French bistre,#856D4D
Sepia,#704214
Violet (color wheel),#7F00FF
Crimson,#DC143C
Gotham green,#00573F
Jonquil,#F4CA16
Myrtle green,#317873
Green (web),#008000
Coyote brown,#81613C
Mint green,#98FF98
Laser lemon,#FFFF66
Yellow (Munsell),#EFCC00
Onyx,#353839
Tuscany,#C09999
Salmon pink,#FF91A4
Zinnwaldite brown,#2C1608
Gold (web) (Golden),#FFD700
Zomp,#39A78E
Rusty red,#DA2C43
Phthalo green,#123524
Generic viridian,#007F66
Blast-off bronze,#A57164
Tomato,#FF6347
Xanthous,#F1B42F
Artichoke green,#4B6F44
UP Forest green,#014421
Desert sand,#EDC9AF
Viridian,#40826D
Barn red,#7C0A02
Spring Frost,#87FF2A
Spanish gray,#989898
Nyanza,#E9FFDB
Lawn green,#7CFC00
Tea rose,#F4C2C2
Bone,#E3DAC9
Safety yellow,#EED202
Blizzard blue,#ACE5EE
Lime green,#32CD32
Light orange,#FED8B1
Volt,#CEFF00
Light blue,#ADD8E6
Light goldenrod yellow,#FAFAD2
Japanese violet,#5B3256
Vegas gold,#C5B358
Maximum yellow red,#F2BA49
Rajah,#FBAB60
Purple mountain majesty,#9678B6
Picotee blue,#2E2787
Liver (organ),#6C2E1F
India green,#138808
Fawn,#E5AA70
Fandango,#B53389
Duke blue,#00009C
Old burgundy,#43302E
Honolulu blue,#006DB0
Cambridge blue,#A3C1AD
Silver chalice,#ACACAC
Hot pink,#FF69B4
Peach,#FFE5B4
Olive Drab (#3),#6B8E23
Harvest gold,#DA9100
Burnt umber,#8A3324
Midnight,#702670
Light slate gray,#778899
Salmon,#FA8072
Dark electric blue,#536878
Charcoal,#36454F
Jasmine,#F8DE7E
Cadmium green,#006B3C
Kobe,#882D17
Coral,#FF7F50
Raspberry glac�,#915F6D
Kobicha,#6B4423
Ghost white,#F8F8FF
Secret,#764374
Maximum red,#D92121
Orange (Pantone),#FF5800
Imperial red,#ED2939
Sweet Brown,#A83731
Orange,#FF7F00
Carolina blue,#56A0D3
Rubine red,#D10056
Khaki (web),#C3B091
Vivid tangerine,#FFA089
Beau blue,#BCD4E6
Isabelline,#F4F0EC
International orange (engineering),#BA160C
YInMn Blue,#2E5090
Deep sky blue,#00BFFF
Indigo,#4B0082
Green (Pantone),#00AD43
Coffee,#6F4E37
French lime,#9EFD38
Forest green (web),#228B22
Safety orange,#FF7800
Byzantium,#702963
Yale Blue,#00356B
Raw sienna,#D68A59
Fuzzy Wuzzy,#87421F
Turquoise,#40E0D0
Fandango pink,#DE5285
Violet-blue (Crayola),#766EC8
Medium carmine,#AF4035
Sage,#BCB88A
Carnation pink,#FFA6C9
Pakistan green,#006600
Pink,#FFC0CB
Pewter Blue,#8BA8B7
Light sea green,#20B2AA
Bisque,#FFE4C4
Persian indigo,#32127A
Lavender (floral),#B57EDC
Chestnut,#954535
Popstar,#BE4F62
Rose red,#C21E56
Burnt orange,#CC5500
Wild watermelon,#FC6C85
Illuminating emerald,#319177
Ivory,#FFFFF0
Fern green,#4F7942
Copper (Crayola),#DA8A67
Bronze,#CD7F32
Royal purple,#7851A9
Outrageous Orange,#FF6E4A
Amber,#FFBF00
Mimi pink,#FFDAE9
Turquoise blue,#00FFEF
Lincoln green,#195905
Lavender gray,#C4C3D0
Sugar Plum,#914E75
Tickle Me Pink,#FC89AC
Rose ebony,#674846
Granite gray,#676767
Battleship grey,#848482
Apricot,#FBCEB1
Deep Space Sparkle,#4A646C
Smitten,#C84186
Old silver,#848482
Super pink,#CF6BA9
Red-violet (Color wheel),#922B3E
Magenta (Pantone),#D0417E
Lime (web) (X11 green),#00FF00
Sea green (Crayola),#00FFCD
Canary yellow,#FFEF00
Pale cerulean,#9BC4E2
Medium sea green,#3CB371
Antique bronze,#665D1E
Sky blue (Crayola),#76D7EA
Liver,#674C47
Yellow (RYB),#FEFE33
Moss green,#8A9A5B
Persian blue,#1C39BB
Warm black,#004242
Dark cyan,#008B8B
Scarlet,#FF2400
Red,#FF0000
Tenn� (tawny),#CD5700
English vermillion,#CC474B
Majorelle blue,#6050DC
Spanish violet,#4C2882
Middle blue,#7ED4E6
Tea green,#D0F0C0
Mulberry (Crayola),#C8509B
Vanilla,#F3E5AB
Red (Pantone),#ED2939
Yellow-green (Color Wheel),#30B21A
Blanched almond,#FFEBCD
Medium champagne,#F3E5AB
Windsor tan,#A75502
Slate blue,#6A5ACD
Baby powder,#FEFEFA
French fuchsia,#FD3F92
Green-blue,#1164B4
Mardi Gras,#880085
Dodger blue,#1E90FF
Deep pink,#FF1493
French lilac,#86608E
Taupe,#483C32
Bole,#79443B
Cornflower blue,#6495ED
English red,#AB4B52
Pink lace,#FFDDF4
Vivid violet,#9F00FF
Melon,#FEBAAD
Rosso corsa,#D40000
Venetian red,#C80815
Nadeshiko pink,#F6ADC6
Spanish viridian,#007F5C
Medium spring green,#00FA9A
Coral pink,#F88379
Seashell,#FFF5EE
English lavender,#B48395
Queen blue,#436B95
Brick red,#CB4154
Violet-red(PerBang),#F0599C
Yellow Orange (Color Wheel),#FF9505
Khaki (X11) (Light khaki),#F0E68C
Mellow apricot,#F8B878
Dutch white,#EFDFBB
Gamboge,#E49B0F
Shadow,#8A795D
Metallic Seaweed,#0A7E8C
Eton blue,#96C8A2
Dark liver (horses),#543D37
Inchworm,#B2EC5D
Tuscan brown,#6F4E37
Thulian pink,#DE6FA1
New Car,#214FC6
Silver (Crayola),#C9C0BB
Ultramarine blue,#4166F5
Mountbatten pink,#997A8D
Orchid (Crayola),#E29CD2
Firebrick,#B22222
Mauve taupe,#915F6D
Old gold,#CFB53B
Spanish red,#E60026
Royal blue (light),#4169E1
Red (Crayola),#EE204D
Vanilla ice,#F38FA9
Old mauve,#673147
Permanent Geranium Lake,#E12C2C
Congo pink,#F88379
Middle blue purple,#8B72BE
Opal,#A8C3BC
Italian sky blue,#B2FFFF
Dark magenta,#8B008B
UA red,#D9004C
Magic mint,#AAF0D1
Spanish orange,#E86100
Mountain Meadow,#30BA8F
Royal blue (dark),#002366
Mustard,#FFDB58
Dark violet,#9400D3
Spanish pink,#F7BFBE
Maize,#FBEC5D
Violet-red,#F75394
Royal yellow,#FADA5E
Palatinate purple,#682860
Orange-red,#FF681F
Field drab,#6C541E
Blue (Munsell),#0093AF
Wine,#722F37
French blue,#0072BB
Satin sheen gold,#CBA135
Razzmic Berry,#8D4E85
Cotton candy,#FFBCD9
Amazon,#3B7A57
Electric violet,#8F00FF
Purple pizzazz,#FE4EDA
Aureolin,#FDEE00
Goldenrod,#DAA520
Azure,#007FFF
Dandelion,#FED85D
Violet (web),#EE82EE
Paradise pink,#E63E62
Uranian blue,#AFDBF5
Burnished brown,#A17A74
Fiery rose,#FF5470
Weezy Blue,#189BCC
Sheen green,#8FD400
Denim,#1560BD
Rose taupe,#905D5D
Amaranth pink,#F19CBB
Purple (web),#800080
Indigo dye,#00416A
Nickel,#727472
Polished Pine,#5DA493
Air superiority blue,#72A0C1
Yellow-green (Crayola),#C5E384
Selective yellow,#FFBA00
Key lime,#E8F48C
Dark sea green,#8FBC8F
French pink,#FD6C9E
Liver (dogs),#B86D29
Green,#00FF00
Harlequin,#3FFF00
Blue (pigment),#333399
Frostbite,#E936A7
Wintergreen Dream,#56887D
Roman silver,#838996
Oxford blue,#002147
Cyclamen,#F56FA1
Midnight blue,#191970
Bud green,#7BB661
Lavender blue,#CCCCFF
Maximum blue purple,#ACACE6
Caribbean green,#00CC99
Technobotanica,#00FFBF
Lion,#DECC9C
Silver,#C0C0C0
Spring green,#00FF7F
Solid pink,#893843
Chinese yellow,#FFB200
USAFA blue,#004F98
Ming,#36747D
Spring green (Crayola),#ECEBBD
Sapphire blue,#0067A5
Antique brass,#C88A65
Flax,#EEDC82
Beige,#F5F5DC
Cerulean frost,#6D9BC3
Cyber yellow,#FFD300
Thistle,#D8BFD8
Star command blue,#007BB8
English violet,#563C5C
June bud,#BDDA57
Tufts blue,#3E8EDE
Green (NCS),#009F6B
Phthalo blue,#000F89
Rust,#B7410E
Olivine,#9AB973
Tan (Crayola),#D99A6C
Dark slate gray,#2F4F4F
Spanish blue,#0070B8
Blue yonder,#5072A7
Eminence,#6C3082
Cerulean (Crayola),#1DACD6
Celeste,#B2FFFF
Timberwolf,#DBD7D2
School bus yellow,#FFD800
Champagne,#F7E7CE
Spanish bistre,#807532
Slimy green,#299617
Burgundy,#800020
Red (Munsell),#F2003C
Jungle green,#29AB87
Kelly green,#4CBB17
Mango,#FDBE02
Pearly purple,#B768A2
Periwinkle (Crayola),#C3CDE6
Cinereous,#98817B
Green (Crayola),#1CAC78
Black coral,#54626F
Persian plum,#701C1C
Blue (Crayola),#1F75FE
Tyrian purple,#66023C
Shocking pink,#FC0FC0
University of Pennsylvania red,#A50021
Middle blue green,#8DD9CC
Purpureus,#9A4EAE
Mona Lisa,#FF948E
Russet,#80461B
Cadet blue,#5F9EA0
Syracuse Orange,#D44500
Seal brown,#59260B
French raspberry,#C72C48
Cardinal,#C41E3A
Camel,#C19A6B
Raisin black,#242124
Green (pigment),#00A550
Persian pink,#F77FBE
Falu red,#801818
Fire engine red,#CE2029
Citrine,#E4D00A
Prairie gold,#E1CA7A
Gold (Crayola),#E6BE8A
Linen,#FAF0E6
Lapis lazuli,#26619C
Deep jungle green,#004B49
Aero,#7CB9E8
Sandy brown,#F4A460
Light yellow,#FFFFE0
Outer space (Crayola),#2D383A
Baby blue eyes,#A1CAF1
Green (Munsell),#00A877
Middle red,#E58E73
Tan,#D2B48C
Maximum green,#5E8C31
Hansa yellow,#E9D66B
Prussian blue,#003153
Catawba,#703642
Cadmium orange,#ED872D
Columbia Blue,#B9D9EB
Red Salsa,#FD3A4A
Violet (crayola),#963D7F
Erin,#00FF40
Purple Plum,#9C51B6
Medium violet-red,#C71585
Liseran purple,#DE6FA1
Van Dyke brown,#664228
Tourmaline,#86A1A9
Pale Dogwood,#ED7A9B
Magnolia,#F2E8D7
Drab dark brown,#4A412A
Red-orange,#FF5349
Sky magenta,#CF71AF
Keppel,#3AB09E
Sienna,#882D17
Medium blue,#0000CD
Maroon (Crayola),#C32148
Golden yellow,#FFDF00
Flirt,#A2006D
Maximum blue,#47ABCC
Magenta (process),#FF0090
Misty moss,#BBB477
Pomp and Power,#86608E
Lilac,#C8A2C8
Yellow (Crayola),#FCE883
Portland Orange,#FF5A36
Ash gray,#B2BEB5
Mode beige,#967117
Sand,#C2B280
Dark red,#8B0000
Cosmic cobalt,#2E2D88
Persian orange,#D99058
True Blue,#2D68C4
Shiny Shamrock,#5FA778
Platinum,#E5E4E2
Dark green (X11),#006400
Navajo white,#FFDEAD
Pumpkin,#FF7518
Medium slate blue,#7B68EE
Raw umber,#826644
Blood red,#660000
Plum,#8E4585
Yellow (NCS),#FFD300
Sand dune,#967117
Russian green,#679267
Mellow yellow,#F8DE7E
Telemagenta,#CF3476
Pistachio,#93C572
Cadet grey,#91A3B0
Indian yellow,#E3A857
Rose Pompadour,#ED7A9B
Alloy orange,#C46210
Cedar Chest,#C95A49
Magenta,#FF00FF
Bistre,#3D2B1F
Ruby red,#9B111E
Violet,#8F00FF
Middle grey,#8B8680
Navy blue (Crayola),#1974D2
Manatee,#979AAA
Old lavender,#796878
Lilac Luster,#AE98AA
Space cadet,#1D2951
Deep champagne,#FAD6A5
Parchment,#F1E9D2
Middle red purple,#A55353
Cordovan,#893F45
Middle green,#4D8C57
Mauvelous,#EF98AA
Persian red,#CC3333
Wisteria,#C9A0DC
Plump Purple,#5946B2
Yellow Orange,#FFAE42
Red (NCS),#C40233
Amaranth deep purple,#9F2B68
Wine dregs,#673147
Deep saffron,#FF9933
Quick Silver,#A6A6A6
Granny Smith apple,#A8E4A0
Umber,#635147
Red-orange (Crayola),#FF681F
Resolution blue,#002387
Claret,#7F1734
Blue-gray (Crayola),#6699CC
Dim gray,#696969
Jazzberry jam,#A50B5E
Davy's grey,#555555
Pullman Brown (UPS Brown),#644117
Opera mauve,#B784A7
Carrot orange,#ED9121
Spanish green,#009150
Hooker's green,#49796B
Chinese violet,#856088
Cerise,#DE3163
Dark byzantium,#5D3954
Dark olive green,#556B2F
Crimson (UA),#9E1B32
